,gid,aid,fen,move,annotation
21,1,1,r1bqkb1r/pppppppp/2n2n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,g1f3,"This could be considered as a refutation of the Tango, which was one of the reasons why I started to study the KID as an alternative however, white didn't continue with the correct/ best line, after 3.Nf3. We'll discuss this in a moment.
Alternative variation: [This is my favourite version of the Tango as it allows an immediate e5.] 3. Nc3 [when after] e5 4. d5 Ne7 5. e4 Ng6 6. Nf3 a5 7. Bd3 Bc5 [we reach a kind of ""Accelerated King's Indian Defence"", where the KID Bishop appears to be more active, operating along the g1-a7 diagonal.]
"
22,1,2,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,e7e6,"I have to change my plan slightly as 3...e5 isn't playable here. I now want to develop the dark squared bishop outside of the pawn chain, then engineer a c7-d6-e5 pawn skeleton then exchange on c3 at the correct moment. That way I will end up with a good Bishop and the two Knights, in a potentially closed position.
"
23,1,3,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,e2e3,"I was happy to see this, rather than 4.a3, black's going to build a nice position now.
Alternative variation: [The only way to refute the Tango is by playing] 4. a3 [Black can now no longer develop the dark squared Bishop naturally and so has to opt for a slower King's Indian Defence with] g6 5. Nc3 Bg7 6. e4 d6 7. Be2 O-O 8. O-O e5 [The closed nature of the position means that black's loss of tempo isn't a bad thing. You could also argue that 4.a3 balances it out a little. Either way, black is doing fine here.]
"
24,1,4,r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,f8b4,"Getting on with the plan as described earlier.
"
25,1,5,r1bq1rk1/pppp1ppp/2n1pn2/8/1bPP4/2N1PN2/PP3PPP/R1BQKB1R w KQ -,e8g8,"Alternative variation: [I suppose you could try] 5... Bxc3+ [but after ] 6. bxc3 [I'm not confident that white's pawn complex is all that bad. I would sooner exchange on c3 after white has forced me to.]
"
26,1,6,r1bq1rk1/ppp2ppp/2nppn2/8/2PP4/P1Q1PN2/1P3PPP/R1B1KB1R b KQ -,c2c3,"So now the position is getting closer to the one I had calculated. I just need to prepare the e5 break to challenge the centre and then I'm happy.
"
27,1,7,r1b2rk1/ppp1qppp/2nppn2/8/2PP4/P3PN2/1PQ2PPP/R1B1KB1R b KQ -,c3c2,"Wasn't sure if this was necessary but it makes my life easier as I can now challenge the centre and gain some space on the kingside.
"
28,1,8,rnb2rk1/ppp1qppp/3p1n2/3Pp3/2P5/P3PN2/1PQ2PPP/R1B1KB1R w KQ -,c6b8,"This may look bad at first but due to the closed nature of the position, black can afford a few extra tempi in re-routing his Knight to a stronger square. As pawn formations change, new plans need to be formulated. The original idea behind ...Nc6 was to take the route Nc6-e7-g6 but as this was prevented, the Knight will now be most effective on c5. After taking all of this into consideration, ...Nb8 is the best move!
"
29,1,9,rnb2rk1/ppp1qppp/3p1n2/3Pp3/2P1P3/P4N2/1PQ2PPP/R1B1KB1R b KQ -,e3e4,"Black's not the only one using extra tempi, it's taken two moves to develop white's pawn to e4.
"
30,1,10,rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P1P3/P4N2/1PQ2PPP/R1B1KB1R w KQ a6,a7a5,"A standard move in these positions. Creating an artificial support point on c5 for the Knight. I first read about this in Nimzowitsch's book called My System. By taking control of b4 you're indirectly supporting the c5 square for a minor piece. White will then have to try and bolster the b4 square with moves like Rb1, if he's ever going to shift a Knight from c5. My plan here is simply to kill off any play that white may have on the queenside by re-routing my Queen's Knight to c5 and advancing the a-pawn to a4, if white allows this then I think black will be close to winning. 
"
31,1,11,rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P1P3/P4N2/1PQ1BPPP/R1B1K2R b KQ -,f1e2,"Alternative variation: [Obviously white can't play this immediately as after] 12. b4 axb4 [ the Rook will be hanging on a1 if white recaptures.]
"
32,1,12,r1b2rk1/1ppnqppp/3p1n2/p2Pp3/2P1P3/P4N2/1PQ1BPPP/R1B1K2R w KQ -,b8d7,"It's no secret where this little guy's heading.
"
33,1,13,r1b2rk1/1ppnqppp/3p1n2/p2Pp1B1/2P1P3/P4N2/1PQ1BPPP/R3K2R b KQ -,c1g5,"I feel as though white doesn't have a plan at this stage so I'm just going about my plan of killing off any queenside play, then I will turn my attention to the kingside.
"
34,1,14,r1b2rk1/1pp1qppp/3p1n2/2nPp1B1/p1P1P3/P4N2/1PQ1BPPP/R4RK1 w - -,a5a4,"I'm often reluctant to play a move like this due to the vulnerability of the flank pawn after being cut off from his brothers however, the pro's outweigh the cons as white is now unable to play b4 and get any play generated on the queenside.
Alternative variation: 14... Re8 [I looked at this line but as it was only based on the following ""cheapo"", I opted against it. I thought after a later ...f5 break, the Rook will be better placed on f8.] 15. Rab1 Ncxe4 16. Qxe4 Nxe4 17. Bxe7 [when black is a pawn up. All white needed to do though was overprotect e4 and black's Rook is misplaced. I chose correctly and avoided a 'what if' scenario.] Rxe7
"
35,1,15,r1b2rk1/1pp1qppp/3p1n2/2nPp1B1/p1P1P3/P7/1PQNBPPP/R4RK1 b - -,f3d2,"Clearly planning an f4 break here due to having everything neutralised everywhere else (due to my accurate play) however, white has no right to play on the kingside. I feel as though any pawn advances on this wing will only benefit black.
"
36,1,16,r1b2rk1/1pp1qpp1/3p1n1p/2nPp1B1/p1P1P3/P7/1PQNBPPP/R4RK1 w - -,h7h6,"I now need to remove the pin on f6, drop the Knight back to h7 and break with ...f5 and activate the rest of my pieces. My focus is now white's King.
"
37,1,17,r1b2rk1/2p1qpp1/1p1p1n1p/2nPp3/p1P1P3/P3B3/1PQNBPPP/R4RK1 w - -,b7b6,"I wasn't expecting white to capture on c5 but just in case he did, I was preparing to recapture with my b-pawn. I need to keep the centre completely closed to that white has no tactics in the centre, when I attack on the kingside.
Alternative variation: [If instead I ignore white's ""threat"" and play on the kingside] 16... Nh7 17. Bxc5 [gives up the good bishop and after] dxc5 18. Nb1 f5 [Black's pawns just look a little disjointed and I wasn't happy about the position. Instead I opted for some prophylaxis before continuing with my plan.]
"
38,1,18,r1b2rk1/2p1qpp1/1p1p1n1p/2BPp3/p1P1P3/P7/1PQNBPPP/R4RK1 b - -,e3c5,"I was surprised to see this as I thought white would want to keep his good bishop on the board. I feel as though black is just increasing the value of his position as the game goes on.
"
39,1,19,r1b2rk1/2p1qpp1/3p1n1p/2pPp3/p1P1P3/P7/1PQNBPPP/R4RK1 w - -,b6c5,"Although the a-pawn is now isolated, he's a hero as he's still holding up the queenside on his own and he will be brave enough to sacrifice himself as a means to distract white from the action in more critical areas of the board.
"
40,2,0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,b8c6,I like this game because I am the underdog
41,2,1,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,a7a6,rong move!!
42,2,2,r1bqkbnr/2p2ppp/p7/3pN3/8/2N5/PPPP1PPP/R1BQK2R b KQkq -,f3e5,"why did I not take earlyer??...
"
43,2,3,r2qkb1r/1bp2ppp/p4n2/3pN3/3P4/2N5/PPP2PPP/R1BQ1RK1 b kq -,e1g1,big plans!! :) a sneaky grin 
44,2,4,r2qkb1r/1bp3pp/p4p2/3pN3/3PN3/5Q2/PPP2PPP/R1B2RK1 b kq -,c3e4,like this like very much!!!
45,2,5,r3kb1r/1bp1q1pp/p4p2/4NQ2/3Pp3/8/PPP2PPP/R1B2RK1 w kq -,d8e7,where it gets crazy 
46,2,6,r3kb1r/1bp1q1pp/p7/4PQ2/8/4pP2/PPP3PP/R1B2RK1 w kq -,e4e3,"why push??
"
47,2,7,r1b1kb1r/2p1q1pp/p7/4PQ2/8/4BP2/PPP3PP/R4RK1 w kq -,b7c8,"game gets good
"
48,2,8,1rb1kb1r/2p1q1pp/p7/4P3/4Q3/4BP2/PPP3PP/R4RK1 w k -,a8b8,trapped 
49,2,9,1r2kb1r/Bbp1q1pp/p7/4P3/4Q3/5P2/PPP3PP/R4RK1 w k -,c8b7,why did he do that he had a free pawn on b2
50,2,10,1B2kb1r/1b2q1pp/p1p5/4P3/Q7/5P2/PPP3PP/R4RK1 b k -,a7b8,I take 
51,2,11,4kb1r/1b4pp/p1p5/4B3/Q7/5P2/PPP3PP/R4RK1 b k -,b8e5,game over I take and he resined!!! : ) : ) :) :0
52,3,0,rnbqkb1r/ppp2ppp/3p4/8/8/2P2N2/PPP2PPP/R1BQKB1R b KQkq -,d2c3,"Having said that, Susan starts here with, ""Petroff again but 4. Nf3 instead of Nd3. This is more ambitious approach with 0-0-0"""
53,3,1,r1bq1rk1/pp2bppp/3p1n2/2p5/8/2PBBN2/PPPQ1PPP/2KR3R w - c6,c7c5,The whole idea is white will launch a Kingside attack. This has the making of a very dynamic game!  Giri played 11. Rhe1 We are still in opening theory. But Carlsen is thinking here. So perhaps he is trying to recall some special home prep to create chaos since 10...c5 is well known. 
54,3,2,r1bq1rk1/pp2bppp/3p1n2/2p5/8/2PBBN2/PPPQ1PPP/2KRR3 b - -,h1e1,and Caruana played
55,3,3,r2q1rk1/pp2bppp/3pbn2/2p5/8/2PBBN2/PPPQ1PPP/2KRR3 w - -,c8e6,"immediately. In top level games, white won 1 and drew 3. Here Karjakin played 12. Bg5. So did Giri while Sasikiran played 12. Kb1. Be prepared for some Carlsen surprise soon I am quite surprised. Why is Carlsen thinking so much? We are still in opening theory. After "
56,3,4,r4rk1/pp2bppp/3pbn2/q1p5/8/2PBBN2/PPPQ1PPP/1K1RR3 w - -,d8a5,immediately. So they are following the Sasikiran v Miro game in St Louis just a few weeks ago.
57,3,5,r4rk1/pp2bppp/3pbn2/2p5/2P5/3B1N2/PPPB1PPP/1K1RR3 b - -,e3d2,Carlsen cannot help himself. He wants to head to endgame immediately. No risk grinding! It seems that both sides are satisfied with what they have 
58,3,6,r4rk1/pp2bpp1/3pbn1p/2p5/2P5/3B1N2/PPPB1PPP/1K1RR3 w - -,h7h6,preventing 15. Ng5 Sorry but this now has the making of a long boooooring game I am at a suite overlooking Hyde Park. But I am not in London for the World Championship. I am here for other reasons  – at Four Seasons Hotel Carlsen opted for 
59,3,7,r4rk1/pp2bpp1/3pbn1p/2p5/2P4N/3B4/PPPB1PPP/1K1RR3 b - -,f3h4,with a direct threat of Ng6 or Nf5. Things can get wild with 15... Ng4 16. Ng6 fxg6 17. Rxe6 Nxf2 18. Rde1 Nxd3 19. cxd3 Bf6 20. Rxd6 
60,3,8,r3r1k1/pp2bpp1/3pbn1p/2p5/2P4N/3B4/PPPB1PPP/1K1RR3 w - -,f8e8,and
61,3,9,r3r1k1/pp2bpp1/3pbnNp/2p5/2P5/3B4/PPPB1PPP/1K1RR3 b - -,h4g6,"immediately. That is what Carlsen wants. Long slow grind with microscopic advantage with no risk. ♟Carlsen once again had nothing special prepared. He is like in an MMA fight and his only objective is to get his opponent on the ground to grind something out, little chance of getting knocked out. ♟ – at Four Seasons Hotel Even if he can hold on to his title, Carlsen will have big trouble holding on to his #1 ranking long term unless he modifies something. He cannot continue to hope that he can beat others all the time with this style. ♟ "
62,3,10,6k1/5pp1/pp5p/2p5/2b2B2/P7/1PPK1PPP/8 b - -,a2a3,"Very disappointing! Another simple draw. Terrible for the fans! So the game had 99% chance of draw, and 1% of Carlsen winning. Is this the best approach for final white game in classical chess? Carlsen thinks so and fans are frustrated. It is clear he wants rapid/blitz playoff. Caruana decided that the easiest way to draw is to give up the c pawn to play out pawn down endgame with Bishops opposite colors. He wants to prove that it would be a draw even with a pawn down."
63,4,0,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6,c7c5,"Been using this lately.
"
64,4,1,r1b1kb1r/pp1ppppp/1q3n2/1Bp1N3/3nP3/2NP4/PPP2PPP/R1BQK2R b KQkq -,f3e5,"6.Ne5? pretty sure he missed something there.
"
65,4,2,r1b1kb1r/ppqppppp/5n2/1np1N3/N3P3/3P4/PPP2PPP/R1BQK2R w KQkq -,b6c7,"7...Qa5+ 8.c3 or ...Qa6 8.b3 (Nc3 Nxc3 9.bxc3) to force/mess-up his pawn structure. But I chose 7...Qc7 I control 5 vs 2.
"
66,4,3,r1b1kb1r/ppq1pppp/5n2/1npp4/N1N1P3/3P4/PPP2PPP/R1BQK2R w KQkq d6,d7d5,"If I play 8...d5 9.exd5 Nxd5 I control 3 vs 2. If 8...d6 I pin my Q in (and N on b5) but 5 vs 3.
"
67,4,4,r1b1kb1r/ppq2ppp/4pn2/1npp4/N3P3/3P4/PPPN1PPP/R1BQK2R w KQkq -,e7e6,"9...Bg4 is a slow plan and allows the eventual c4 or 10.f3!. Actually c4 is inevitable... hmmm leaves me a hole on d4.
"
68,4,5,r1b1kb1r/ppq2ppp/4pn2/1np5/N3p3/3P4/PPPN1PPP/R1BQ1RK1 w kq -,d5e4,"10...dxe4 seems kinda weird but I gotta remember it's me who's trying to equalize. Plus I'm ahead in material.
"
69,4,6,r1b1kb1r/ppq2ppp/5n2/1np1p3/N3P3/1P6/P1PN1PPP/R1BQ1RK1 b kq -,b2b3,"12.b3 so he'll fianchetto. His DSB is pretty strong but I can shut it down. Kinda thinking of ...Nd4...Nc6 (maybe ...Ne6). Would be nice to tempt his c-pawn to c4. Also gotta load up the d-file.
"
70,4,7,r4rk1/pbq1bppp/2n2n2/1pp1p3/4P3/1PP2N2/PNQ2PPP/R1B1R1K1 w - -,c8b7,"17.Bb7 I have 7 vs 5 Explore 18...b4
"
71,4,8,r4rk1/1bq1bppp/p1n2n2/1pp1p3/2P1P3/1P6/PNQN1PPP/R1B1R1K1 b - -,c3c4,"Positional flaw, in my opinion."
72,4,9,r5k1/1bqrbppp/p4n2/1pp1p3/2PnP3/1P1N4/P2N1PPP/R1BQR1K1 w - -,d8d7,"21...Rd7 new plan.
"
73,4,10,3r2k1/1bqrbppp/p3nn2/1pp1p3/2P1P3/1P1NR3/P2NQPPP/R1B4K b - -,d1e2,"23...Ne6 you don't get central control like this too often. My 10 vs his 4. Fun, open game. 24.Qe2 removes his K-side defender. If 24...Nf4 25.Nxf4 (forced since any Q movement gives up the N on the spot) exf4 (looks awkward but I'm not really worried about that pawn plus it gets me tempo by attacking the R).  Plus I made this note but not sure where it goes now lol: 26.Rf3 Qe5 (the kicker which could not be prevented) 27.Rb1 (forced) Nxe4 (to get another piece bearing down on d2 & d1 mate)
"
74,4,11,3r2k1/1bqrbppp/p4n2/1pp1p3/2PnP3/1P1NR3/P2N1PPP/R1B2Q1K b - -,e2f1,"?
"
75,4,12,3r2k1/1b1rbppp/p4n2/qpp1p3/2P1P3/1P1N2R1/P2NQPPP/n1B4K w - -,c7a5,"27...Qa5 my attack is stronger than his. 28.Nxe5 comes to nothing. 28.Nb1? again.
"
76,4,13,3r2k1/3rbppp/p7/1pp1p3/2P5/1PqN1b2/PB2QPPP/n6K w - -,b7f3,
77,5,0,r1bqkbnr/ppp2ppp/2np4/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq d3,d2d4,"I’ve been using this more often in the last year.
"
78,5,1,r2qkbnr/pppb1ppp/2np4/1B2p3/3PP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,c2c3,"This is the slow, preparatory move that I previously used before 4.d4.
"
79,5,2,r2qkbnr/1ppb1ppp/p1np4/1B2p3/3PP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,a7a6,"Not bad but Bc4 is still an option.  …Nf6 would force Nd2 or maybe Bg5.
"
80,5,3,r2qkbnr/1ppb1ppp/p1np4/4p3/B2PP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,b5a4,"Post-analysis…. Computer much prefers Bc4 but I’m more familiar with the text move.
"
81,5,4,r2qkb1r/1ppb1ppp/p1np1n2/4p3/3PP3/2P2N2/PPB2PPP/RNBQK2R b KQkq -,a4c2,"7.O-O Nxe4 8.Re1 is playable but again, not much experience with it.
"
82,5,5,r2qkb1r/1ppb1p1p/p1np1np1/4p1B1/3PP3/2P2N2/PPB2PPP/RN1QK2R b KQkq -,c1g5,"In the recent Carlsen-Caruana match there were comments to the effect that this type of move is not best.  Not 100% sure why.  Be3 best??  Anyway, I have intentions to move the DSB around to g3.
"
83,5,6,r2qk2r/1ppb1pbp/p1np1np1/4p1B1/3PP3/2P2N2/PPB2PPP/RN1Q1RK1 b kq -,e1g1,"9.d5 would interfere with his DSB but I wasn’t in the mood for such a closed game after having just played a few.
"
84,5,7,r1q1k2r/1ppb1pbp/p1np1np1/4p1B1/3PP3/2P2N2/PPB2PPP/RN1Q1RK1 w kq -,d8c8,"Didn’t see that coming.  …h6, …O-O, …Bg4 in my opinion.
"
85,5,8,r1q1k2r/1ppb1pbp/p1np1np1/4p1B1/3PP3/2P2N2/PPB2PPP/RNQ2RK1 b kq -,d1c1,"Post-analysis computer doesn’t like it.  Takes away from the central control.  Now I’m 5 vs his 6.
"
86,5,9,r1q1k2r/1pp2pbp/p1np1np1/4p1B1/3PP1b1/2P2N2/PPBN1PPP/R1Q2RK1 b kq -,b1d2,"Computer says this is best but I never even considered it’s second suggestion of 11.Qe3 which I probably would have preferred.
"
87,5,10,r1q1k2r/1pp2pb1/p1np1npp/4p3/3PP1bB/2P2N2/PPBN1PPP/R1Q2RK1 b kq -,g5h4,"Computer considers this a mistake.  12.Be3 best.
"
88,5,11,r1q1k2r/1pp2pb1/p1np1npp/4p3/3PP2B/2P2b2/PPBN1PPP/R1Q2RK1 w kq -,g4f3,"Completes his plan but frees my position to my advantage.  I’m 5 vs 6 in the centre.
"
89,5,12,r1q1k2r/1pp2pb1/p1np1n1p/4p1p1/3PP2B/2P2N2/PPB2PPP/R1Q2RK1 w kq -,g6g5,"He has no intention of opening the centre.
"
90,5,13,r1q1k2r/1pp2pb1/p1np3p/4p1pn/3PP3/2P2NB1/PPB2PPP/R2Q1RK1 b kq -,c1d1,"My Q is no use on c1 anymore.  Wish I could tackle the hole on f5.
"
91,5,14,r1q1k2r/1pp2pb1/p1np3p/4p1p1/3PP3/2P2NP1/PPB2PP1/R2Q1RK1 b kq -,h2g3,"Wow the computer prefers fxg3.  Gotta think about that for a while.  The only benefit I see is mobility for the R.  Over the course of the game it would not have mattered.
"
92,5,15,r1q1k2r/1pp2pb1/p1np3p/4p3/3PP1pN/2P3P1/PPB2PP1/R2Q1RK1 b kq -,f3h4,"17.Nh4 is a plan to get to f5, block his Q from g4 and get my Q in his k-side.  Of course it’s a result of his text move which technically is a mistake. +1.09 (better is 16...exd4 or 16...d5) 
"
93,5,16,r1q1k2r/1pp2pb1/p1np4/4p2p/3PP1pN/2P3P1/PPB2PP1/R2Q1RK1 w kq -,h6h5,"Could still try …exd4 maybe.
"
94,5,17,r1q1k2r/1pp2p2/p1np1b2/4pN1p/3PP1p1/2P3P1/PPB2PP1/R2Q1RK1 w kq -,g7f6,"Computer suggests awkward moves like …Rh7 or …Kf8.
"
95,5,18,r1q1k2r/1pp2p2/p1np1b2/4pN1p/3PP1p1/1BP3P1/PP3PP1/R2Q1RK1 b kq -,c2b3,"I don’t have any notes on this but computer doesn’t list it as much of an option.  Seems obvious enough aiming at f7.
"
96,5,19,r3k2r/1ppq1p2/p1np1b2/5N1p/3PP1p1/1B3PP1/PP4P1/R2Q1RK1 b kq -,f2f3,"21.f3 to open up the k-side but might fail to ...Bxd4+ we'll see if he takes the trap.  Nope so I focus on the weak c6 square with Rc1.  He needs to improve on his K-side attack.  At move 21 the computer had a complicated plan to fake a pin on the Q & K to bring the pawn out.  Too deep for me, didn’t see it.  Plus the computer must be thinking it’s a mistake to open the h-file for my opponent.  - / +
"
97,6,0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3,e2e4,I am black
98,6,1,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,e7e6,French defence 
99,6,2,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq -,f1d3,Huh
100,6,3,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq c6,c7c5,Still regular
101,6,4,rnbqkb1r/pp3ppp/4pn2/2p5/3PB3/2P5/PP3PPP/RNBQK1NR w KQkq -,g8f6,Attack
102,6,5,rnbqkb1r/pp3ppp/4pn2/2p5/3PB3/2P2Q2/PP3PPP/RNB1K1NR b KQkq -,d1f3,Smart
103,6,6,rnbqkb1r/pB3ppp/4pn2/8/3p4/2P2Q2/PP3PPP/RNB1K1NR b KQkq -,e4b7,!!
104,6,7,rn2kb1r/pQ3ppp/4pn2/3q4/3p4/2P5/PP3PPP/RNB1K1NR w KQkq -,d8d5,Forced loss of material... 8... Nd7 9. cxd4
105,6,8,rn2k2r/p4ppp/5n2/3p4/1b1P4/8/PP3PPP/RNB1K1NR w KQkq -,f8b4,Check
106,6,9,r3k2r/p4ppp/2n2n2/3p4/1b1P4/2N1B3/PP3PPP/R3K1NR b KQkq -,c1e3,Why does white like moving bishops to the 3rd rank?
107,6,10,r4rk1/p4ppp/2n5/3p4/1b1Pn3/2N1B3/PP2NPPP/R3K2R w KQ -,f6e4,Should have done this earlier
108,6,11,r4rk1/p4ppp/2n5/3p4/3P1N2/2P1B3/Pb3PPP/R4RK1 w - -,a3b2,!
109,6,12,r4rk1/p4ppp/2n5/3p4/3P1N2/2b1B3/P4PPP/1R3RK1 w - -,b2c3,Gaining back material
110,6,13,r4rk1/p4ppp/8/3N4/3n4/8/P4PPP/1R3RK1 w - -,c6d4,Equal endgame
111,6,14,1r4k1/p4ppp/8/8/8/4N3/P3nPPP/5R1K w - -,f8b8,Rook + knight endgame
112,6,15,6k1/p4pp1/7p/8/Pr6/4N2P/4nPP1/R6K b - -,f1a1,Guarding
113,6,16,6k1/p4pp1/7p/8/P4r2/4NP1P/4n1P1/R6K b - -,f2f3,Well
114,6,17,6k1/p4pp1/7p/8/P4r2/4NPnP/6P1/R6K w - -,e2g3,I sent a draw offer here
115,6,18,6k1/p4pp1/7p/8/P4r2/4NPnP/6PK/R7 b - -,h1h2,Oof
116,6,19,6k1/p4pp1/7p/5n2/P4r2/4NP1P/6PK/R7 w - -,g3f5,Agreed to draw.
117,7,0,r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,c5d4,🤔
118,7,1,rnbqkb1r/pp3ppp/3p4/1N1Pp3/P7/8/1PP2PPP/R1BQKB1R b KQkq a3,a2a4,So far a repeat of game 8
119,7,2,r1bq1rk1/pp1nbppp/3p4/1N1Pp3/P7/8/1PP1BPPP/R1BQ1RK1 w - -,b8d7,Caruana is cranking out moves at lightning speed.
120,7,3,r1bq1rk1/pp1nbppp/3p4/1N1Pp3/PP6/8/2P1BPPP/R1BQ1RK1 b - b3,b2b4,"A deviation from game 8 which Caruana played 12. Bd2. Once again, Carlsen allowed Caruana to unleash his home prep. I am still confused about Carlsen's unwillingness to change his opening in spite of nearly losing before.
If Carlsen loses this match, his fans can question his strategy. It is like facing Caruana alone was not fulfilling enough. He wants to face Caruana+Stockfish+SuperComputer+TeamOfSeconds."
121,7,4,r1bq1rk1/1p1nbppp/p2p4/3Pp3/PP6/N7/2P1BPPP/R1BQ1RK1 b - -,b5a3,"I still do not understand Carlsen's ideas. He clearly played so much better, and have much more comfortable positions, when he took Caruana out of his home preparation. So why continue to go to the Lion's den and poke at the Lion? 🦁"
122,7,5,2bq1rk1/1p1nbppp/3p4/r2Pp3/P1N5/8/2P1BPPP/R1BQ1RK1 b - -,a3c4,"Carlsen is OK in this position. The problem is it is so concrete, which is not Carlsen's strength, and Caruana is clearly in his preparation. So it is like fighting with your hands tied."
